Source Image, Target Image, Output File
/media/NAS/DATASET/FFHQ/FFHQ_1024/21800.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/43381.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/43381_21800.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/14944.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/68829.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/68829_14944.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/62449.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/50078.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/50078_62449.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/61729.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/46371.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/46371_61729.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/16482.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/55185.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/55185_16482.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/66908.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/40859.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/40859_66908.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/67905.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/00421.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/00421_67905.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/14258.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/45348.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/45348_14258.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/30963.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/67854.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/67854_30963.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/27364.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/56662.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/56662_27364.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/52019.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/56663.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/56663_52019.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/42145.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/59471.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/59471_42145.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/04526.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/17753.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/17753_04526.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/54614.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/15566.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/15566_54614.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/10605.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/21945.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/21945_10605.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/55092.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/08238.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/08238_55092.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/26176.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/13497.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/13497_26176.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/09812.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/50452.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/50452_09812.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/11186.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/13605.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/13605_11186.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/35810.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/57768.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/57768_35810.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/41796.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/65171.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/65171_41796.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/30609.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/15276.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/15276_30609.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/03190.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/31183.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/31183_03190.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/10718.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/67189.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/67189_10718.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/04049.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/51404.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/51404_04049.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/10470.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/20465.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/20465_10470.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/54514.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/62506.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/62506_54514.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/44086.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/38866.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/38866_44086.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/51892.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/01062.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/01062_51892.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/46615.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/58188.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/58188_46615.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/39705.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/55891.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/55891_39705.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/32444.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/42664.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/42664_32444.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/43998.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/34989.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/34989_43998.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/26430.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/39626.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/39626_26430.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/59895.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/28685.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/28685_59895.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/55068.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/43892.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/43892_55068.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/53165.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/30443.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/30443_53165.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/52285.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/53579.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/53579_52285.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/32808.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/25309.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/25309_32808.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/48167.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/02596.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/02596_48167.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/08970.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/22688.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/22688_08970.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/38185.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/53950.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/53950_38185.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/52207.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/36571.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/36571_52207.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/43939.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/02033.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/02033_43939.jpeg
/media/NAS/DATASET/FFHQ/FFHQ_1024/38643.png, /media/NAS/DATASET/FFHQ/FFHQ_1024/35768.png, /media/NAS/DATASET/FaceFusion/FFHQ_Swap/35768_38643.jpeg
